2020-06-29T21:20:49.232Z, 1593465649232, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:20:49.535Z, 1593465649535, ea:39:da:f1:99:98, pr-3fe7, -63
2020-06-29T21:20:49.707Z, 1593465649707, ea:39:da:f1:99:98, pr-3fe7, -61
2020-06-29T21:20:49.847Z, 1593465649847, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:50.007Z, 1593465650007, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:20:50.328Z, 1593465650328, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:20:50.480Z, 1593465650480, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:20:50.809Z, 1593465650809, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:20:51.427Z, 1593465651427, ea:39:da:f1:99:98, pr-3fe7, -67
2020-06-29T21:20:51.740Z, 1593465651740, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:51.889Z, 1593465651889, ea:39:da:f1:99:98, pr-3fe7, -62
2020-06-29T21:20:52.062Z, 1593465652062, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:52.241Z, 1593465652241, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:52.384Z, 1593465652384, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:52.532Z, 1593465652532, ea:39:da:f1:99:98, pr-3fe7, -68
2020-06-29T21:20:52.718Z, 1593465652718, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:20:52.850Z, 1593465652850, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:20:52.991Z, 1593465652991, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:53.151Z, 1593465653151, ea:39:da:f1:99:98, pr-3fe7, -64
2020-06-29T21:20:53.317Z, 1593465653317, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:20:53.481Z, 1593465653481, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:20:53.637Z, 1593465653637, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:20:53.801Z, 1593465653801, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:20:54.116Z, 1593465654116, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:20:54.277Z, 1593465654277, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:20:54.444Z, 1593465654444, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:20:54.750Z, 1593465654750, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:20:54.906Z, 1593465654906, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:20:55.217Z, 1593465655217, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:20:55.377Z, 1593465655377, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:20:55.534Z, 1593465655534, ea:39:da:f1:99:98, pr-3fe7, -70
2020-06-29T21:20:55.692Z, 1593465655692, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:20:56.009Z, 1593465656009, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:20:56.150Z, 1593465656150, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:20:56.317Z, 1593465656317, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:20:56.468Z, 1593465656468, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:20:56.633Z, 1593465656633, ea:39:da:f1:99:98, pr-3fe7, -80
2020-06-29T21:20:56.790Z, 1593465656790, ea:39:da:f1:99:98, pr-3fe7, -71
2020-06-29T21:20:56.953Z, 1593465656953, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:20:57.108Z, 1593465657108, ea:39:da:f1:99:98, pr-3fe7, -78
2020-06-29T21:20:57.264Z, 1593465657264, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:20:57.745Z, 1593465657745, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:20:57.897Z, 1593465657897, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:20:58.364Z, 1593465658364, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:20:59.156Z, 1593465659156, ea:39:da:f1:99:98, pr-3fe7, -79
2020-06-29T21:20:59.318Z, 1593465659318, ea:39:da:f1:99:98, pr-3fe7, -73
2020-06-29T21:20:59.477Z, 1593465659477, ea:39:da:f1:99:98, pr-3fe7, -86
2020-06-29T21:20:59.633Z, 1593465659633, ea:39:da:f1:99:98, pr-3fe7, -77
2020-06-29T21:21:00.106Z, 1593465660106, ea:39:da:f1:99:98, pr-3fe7, -84
2020-06-29T21:21:00.372Z, 1593465660372, ea:39:da:f1:99:98, pr-3fe7, -74
2020-06-29T21:21:00.460Z, 1593465660460, ea:39:da:f1:99:98, pr-3fe7, -75
2020-06-29T21:21:00.581Z, 1593465660581, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:21:00.888Z, 1593465660888, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:21:01.042Z, 1593465661042, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:21:01.195Z, 1593465661195, ea:39:da:f1:99:98, pr-3fe7, -71
2020-06-29T21:21:01.348Z, 1593465661348, ea:39:da:f1:99:98, pr-3fe7, -71
2020-06-29T21:21:01.521Z, 1593465661521, ea:39:da:f1:99:98, pr-3fe7, -69
2020-06-29T21:21:01.874Z, 1593465661874, ea:39:da:f1:99:98, pr-3fe7, -76
2020-06-29T21:21:01.988Z, 1593465661988, ea:39:da:f1:99:98, pr-3fe7, -81
2020-06-29T21:21:02.140Z, 1593465662140, ea:39:da:f1:99:98, pr-3fe7, -66
2020-06-29T21:21:02.476Z, 1593465662476, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:21:02.620Z, 1593465662620, ea:39:da:f1:99:98, pr-3fe7, -72
2020-06-29T21:21:02.924Z, 1593465662924, ea:39:da:f1:99:98, pr-3fe7, -65
2020-06-29T21:21:03.116Z, 1593465663116, ea:39:da:f1:99:98, pr-3fe7, -69
