2020-06-29T19:50:10.923Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:11.072Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:11.553Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:11.703Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:12.325Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:12.494Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:12.640Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:13.276Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:13.735Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:13.906Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:14.221Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:14.378Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:15.003Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:15.158Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:15.313Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:15.628Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:15.788Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:15.940Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:16.574Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:16.893Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:17.072Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:17.571Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:17.684Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:17.831Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:18.303Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:18.926Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:19.095Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:19.408Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:19.566Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:19.718Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:19.876Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:20.183Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:20.349Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:20.827Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:20.986Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:21.448Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:21.606Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:21.768Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:22.083Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:22.709Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:22.864Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:23.491Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:23.652Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:24.118Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:24.270Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:24.429Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:24.905Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:25.066Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:25.381Z, f0:eb:32:89:9a:aa, pr-3fe7, -81
2020-06-29T19:50:25.686Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:26.311Z, f0:eb:32:89:9a:aa, pr-3fe7, -81
2020-06-29T19:50:26.473Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:26.786Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:26.939Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:27.102Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:27.410Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:27.580Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:27.752Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:28.348Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:28.571Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:50:28.991Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:29.466Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:29.940Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:30.088Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:30.250Z, f0:eb:32:89:9a:aa, pr-3fe7, -77
2020-06-29T19:50:30.403Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:30.719Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:30.878Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:31.353Z, f0:eb:32:89:9a:aa, pr-3fe7, -79
2020-06-29T19:50:31.527Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:31.991Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:32.146Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:32.459Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:32.611Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:32.767Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:33.248Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:33.410Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:33.875Z, f0:eb:32:89:9a:aa, pr-3fe7, -80
2020-06-29T19:50:34.025Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:34.186Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
2020-06-29T19:50:34.340Z, f0:eb:32:89:9a:aa, pr-3fe7, -76
